sep=,
Info!,Testovanie BST!
Info!,Testovanie Uloha2!
Info!,Zacal sa Scenar A!
Info!,Celkovo Insert, Celkovo Remove, Celkovo TryFind, celkova dlzka Scenara!
0!,25520,41131,44733,111384
Info!,Zacal sa Scenar B!
Info!,Celkovo Insert, Celkovo Remove, Celkovo TryFind, celkova dlzka Scenara!
0!,47779,79371,13456,140606
Info!,Testovanie Uloha3!
Info!,Vysledne casi su priemerom 200 opakovani
Info!,Velkost Table,Insert,Remove,TryFind
0!,1000,2,2,1
0!,3000,2,3,1
0!,5000,2,3,2
0!,7000,2,3,2
0!,9000,3,3,2
0!,11000,3,3,2
0!,13000,3,3,2
0!,15000,3,3,2
0!,17000,3,4,2
0!,19000,3,4,2
0!,21000,3,4,2
0!,23000,3,4,2
0!,25000,3,4,2
0!,27000,4,5,3
0!,29000,3,5,3
0!,31000,3,5,2
0!,33000,3,5,2
0!,35000,4,5,2
0!,37000,3,5,3
0!,39000,3,5,3
0!,41000,3,5,3
0!,43000,3,5,2
0!,45000,3,5,3
0!,47000,4,5,3
0!,49000,3,5,2
0!,51000,4,5,3
0!,53000,4,5,3
0!,55000,4,6,3
0!,57000,4,5,3
0!,59000,4,6,3
0!,61000,3,5,3
0!,63000,4,5,3
0!,65000,3,5,3
0!,67000,4,5,3
0!,69000,4,5,3
0!,71000,4,5,3
0!,73000,4,5,3
0!,75000,4,5,3
0!,77000,4,5,3
0!,79000,4,5,3
0!,81000,4,5,3
0!,83000,4,5,3
0!,85000,4,5,3
0!,87000,5,5,3
0!,89000,4,5,3
0!,91000,4,5,3
0!,93000,4,6,4
0!,95000,5,5,3
0!,97000,5,6,3
0!,99000,4,6,3
0!,101000,4,5,4
0!,103000,4,6,3
0!,105000,4,5,3
0!,107000,5,6,4
0!,109000,4,5,4
0!,111000,5,6,4
0!,113000,5,6,4
0!,115000,6,6,4
0!,117000,6,6,4
0!,119000,5,7,3
0!,121000,4,6,3
0!,123000,5,7,4
0!,125000,5,6,4
0!,127000,5,7,4
0!,129000,6,6,4
0!,131000,6,7,4
0!,133000,5,7,4
0!,135000,5,6,4
0!,137000,5,7,4
0!,139000,5,7,4
0!,141000,5,7,4
0!,143000,5,6,4
0!,145000,5,6,4
0!,147000,5,6,4
0!,149000,5,5,4
Info!,Testovanie SST!
Info!,Testovanie Uloha2!
Info!,Zacal sa Scenar A!
Info!,Celkovo Insert, Celkovo Remove, Celkovo TryFind, celkova dlzka Scenara!
0!,19654,128409,30305,178368
Info!,Zacal sa Scenar B!
Info!,Celkovo Insert, Celkovo Remove, Celkovo TryFind, celkova dlzka Scenara!
0!,40143,224032,8309,272484
Info!,Testovanie Uloha3!
Info!,Vysledne casi su priemerom 200 opakovani
Info!,Velkost Table,Insert,Remove,TryFind
0!,1000,1,33,0
0!,3000,2,97,0
0!,5000,2,156,1
0!,7000,3,217,1
0!,9000,3,288,1
0!,11000,4,370,1
0!,13000,6,475,1
0!,15000,6,485,1
0!,17000,6,594,1
0!,19000,8,617,1
0!,21000,9,731,1
0!,23000,10,824,1
0!,25000,9,862,1
0!,27000,8,931,2
0!,29000,10,946,1
0!,31000,13,1050,1
0!,33000,13,1107,1
0!,35000,12,1264,1
0!,37000,14,1297,2
0!,39000,15,1324,2
0!,41000,15,1387,2
0!,43000,21,1425,2
0!,45000,18,1602,2
0!,47000,19,1605,2
0!,49000,8,1661,2
0!,51000,8,1688,2
0!,53000,13,1793,3
0!,55000,10,1826,2
0!,57000,11,1983,2
0!,59000,23,2008,2
0!,61000,24,2065,2
0!,63000,20,2157,2
0!,65000,23,2253,3
0!,67000,19,2351,2
0!,69000,21,2318,2
0!,71000,23,2448,2
0!,73000,26,2541,2
0!,75000,35,2490,2
0!,77000,45,2507,2
0!,79000,24,2666,2
0!,81000,24,2612,2
0!,83000,25,2499,2
0!,85000,29,2670,2
0!,87000,41,2871,2
0!,89000,26,2901,3
0!,91000,10,3126,2
0!,93000,17,3153,2
0!,95000,14,3328,4
0!,97000,24,3105,4
0!,99000,26,3471,3
0!,101000,30,3472,3
0!,103000,46,3643,4
0!,105000,24,3663,4
0!,107000,44,3342,3
0!,109000,21,3985,5
0!,111000,40,3852,3
0!,113000,52,3800,5
0!,115000,24,3937,3
0!,117000,36,3992,3
0!,119000,36,4095,4
0!,121000,41,3846,5
0!,123000,33,4074,4
0!,125000,42,4351,4
0!,127000,62,4437,5
0!,129000,34,4311,4
0!,131000,57,4398,4
0!,133000,45,4657,5
0!,135000,70,4638,4
0!,137000,68,4488,5
0!,139000,76,4858,5
0!,141000,78,4750,5
0!,143000,65,4724,4
0!,145000,83,4726,4
0!,147000,68,5121,5
0!,149000,91,5173,5
